temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
12.5,9.0,79.5,1.297,100,20.83,63.3,39.7,332.0,1006.6,89.2,14.8,254.7,10.1,6
-2.6,-9.8,58.2,0.0,0,0.0,56.9,40.1,329.0,1028.3,44.5,16.0,388.6,15.4,8
3.7,-7.0,50.5,0.0,0,0.0,35.3,17.0,165.4,1029.9,12.2,16.0,429.6,17.1,8
8.7,-4.8,41.0,0.0,0,0.0,49.4,29.7,177.3,1017.9,19.1,16.0,400.4,15.9,7
9.1,0.6,59.3,0.0,0,0.0,32.7,19.9,34.3,1013.0,15.4,15.9,403.5,16.1,8
1.3,-7.0,55.0,0.0,0,0.0,50.9,33.2,347.5,1019.7,32.7,16.0,356.1,14.1,8
1.7,-6.0,57.5,0.0,0,0.0,33.5,18.4,126.5,1022.9,48.3,16.0,347.0,13.8,8
11.0,9.2,89.3,0.615,100,12.5,39.7,21.4,166.5,1015.2,99.7,8.5,64.3,2.2,1
10.8,5.6,73.2,0.0,0,0.0,51.9,33.4,341.7,1024.5,77.2,13.5,140.4,5.6,4
5.6,-6.6,43.8,0.0,0,0.0,38.9,17.9,346.7,1037.2,30.9,16.0,295.1,17.2,8
6.8,-5.6,45.6,0.0,0,0.0,31.7,19.3,207.8,1032.9,35.7,15.9,191.8,16.5,8
10.1,-1.2,48.9,0.0,0,0.0,31.7,18.5,217.9,1025.2,41.4,16.0,197.4,17.2,8
12.8,-0.9,43.7,0.0,0,0.0,28.4,13.4,299.4,1020.0,15.2,16.0,195.2,17.0,8
14.6,-0.6,38.6,0.0,0,0.0,43.5,29.0,165.7,1011.4,41.2,15.8,142.7,12.4,7
2.2,-6.3,53.6,0.0,0,0.0,78.3,49.3,327.7,1019.6,69.2,15.7,68.3,6.0,4
3.0,-5.2,57.5,0.0,0,0.0,50.4,23.9,320.6,1019.8,6.5,16.0,207.8,18.0,8
8.2,-3.7,46.6,0.0,0,0.0,27.7,15.9,153.1,1019.4,8.4,16.0,204.1,17.6,8
14.3,4.2,52.1,0.0,0,0.0,52.9,31.3,175.7,1011.9,26.3,16.0,187.1,16.2,8
11.5,6.2,70.5,0.725,100,16.67,61.3,40.3,327.0,1014.4,66.6,15.9,46.4,4.1,3
-1.1,-12.8,41.6,0.0,0,0.0,53.1,32.7,359.0,1031.4,77.6,16.0,126.2,10.8,7
0.1,-13.2,36.7,0.0,0,0.0,22.7,14.8,30.8,1030.7,21.3,16.0,213.8,18.6,9
2.9,-9.9,40.1,0.0,0,0.0,13.7,8.9,77.1,1030.8,4.6,16.0,214.3,18.5,9
8.2,-3.4,46.0,0.0,0,0.0,35.3,18.7,280.7,1022.2,6.6,16.0,214.3,18.6,8
9.7,4.5,71.6,2.831,100,37.5,24.1,14.1,227.3,1013.0,84.6,14.6,47.0,4.1,2
9.6,2.0,62.0,0.0,0,0.0,35.3,20.7,37.4,1018.8,32.5,13.9,213.5,18.6,8
4.8,-9.4,36.7,0.0,0,0.0,34.6,20.0,54.9,1027.3,32.6,16.0,219.0,18.9,9
6.5,-3.4,49.9,0.0,0,0.0,33.5,14.8,8.9,1025.6,75.2,16.0,105.0,9.1,4
6.3,-4.0,52.0,0.0,0,0.0,51.7,28.3,328.6,1031.4,5.8,15.8,226.1,19.6,9
9.8,-6.2,37.3,0.0,0,0.0,35.3,17.4,243.9,1025.0,2.0,16.0,230.3,20.0,9
13.3,-5.0,29.2,0.0,0,0.0,33.5,14.7,218.8,1018.5,25.1,16.0,215.1,18.3,9
13.7,6.8,64.2,0.0,0,0.0,41.9,25.0,157.3,1014.6,63.8,16.0,163.8,14.1,8
15.8,11.0,74.5,0.0,0,0.0,37.6,22.5,150.8,1010.4,79.0,15.3,169.8,14.8,7
7.0,4.4,84.1,20.447,100,37.5,49.1,32.0,346.6,1013.1,99.2,12.5,27.5,2.3,1
-4.6,-6.9,84.1,15.174,100,54.17,48.4,29.5,329.6,1023.2,100.0,10.5,41.1,3.5,2
-3.3,-7.8,71.5,0.0,0,0.0,54.7,23.9,328.7,1035.2,62.7,16.0,162.9,14.1,8
1.2,-6.8,58.6,0.0,0,0.0,28.8,14.4,184.0,1032.1,1.3,15.9,251.3,21.8,10
5.2,-4.6,51.4,0.0,0,0.0,35.3,17.3,171.4,1023.6,5.9,16.0,250.7,21.6,10
6.7,-3.2,53.8,0.0,0,0.0,48.5,24.9,336.0,1028.1,7.2,16.0,252.0,21.8,10
10.3,-3.8,40.4,0.0,0,0.0,38.9,20.2,211.3,1022.5,5.9,16.0,252.8,21.8,10
11.1,-3.6,41.4,0.0,0,0.0,31.7,14.2,321.6,1018.7,15.8,16.0,253.4,21.9,10
12.6,-4.1,34.5,0.0,0,0.0,18.7,10.7,303.2,1017.7,19.7,16.0,196.6,17.0,8
15.9,1.1,38.3,0.0,0,0.0,50.4,26.4,206.2,1012.2,17.5,15.9,247.1,21.4,9
6.9,-8.0,34.8,0.0,0,0.0,62.6,35.0,6.9,1027.5,60.0,16.0,129.4,11.1,8
7.3,-6.9,39.4,0.0,0,0.0,37.1,18.0,284.7,1029.4,7.6,16.0,260.5,22.4,10
12.1,-4.3,35.5,0.0,0,0.0,40.2,23.0,185.6,1024.2,6.6,16.0,262.0,22.7,10
14.1,4.4,53.7,0.0,0,0.0,62.9,39.2,174.2,1019.6,14.2,16.0,251.9,21.8,9
17.3,14.3,82.8,4.59,100,16.67,59.0,33.6,174.1,1011.3,98.1,14.5,33.2,3.1,1
8.1,4.2,76.6,2.167,100,12.5,66.4,43.4,319.3,1016.1,97.4,15.8,69.8,5.9,4
3.2,-7.9,49.8,0.0,0,0.0,47.1,23.3,350.4,1028.0,21.4,16.0,280.5,24.3,10
8.7,-5.3,40.9,0.0,0,0.0,19.1,15.2,162.8,1028.0,4.6,16.0,279.0,24.2,10
12.9,0.4,44.3,0.0,0,0.0,47.7,26.3,169.8,1019.3,41.7,16.0,218.6,18.9,10
19.4,15.0,77.9,0.0,0,0.0,56.6,30.5,172.9,1009.6,76.5,13.4,137.6,12.0,8
10.7,5.0,69.2,0.536,100,16.67,57.8,37.7,325.8,1015.9,66.9,15.4,178.8,15.4,8
-3.3,-6.9,77.8,0.37,100,12.5,50.0,29.3,356.9,1027.0,99.7,12.6,28.4,2.5,1
-3.5,-4.8,90.7,0.232,100,4.17,55.4,22.1,337.2,1024.6,99.2,9.6,38.2,3.3,1
-0.6,-6.8,63.6,0.0,0,0.0,53.6,24.7,17.9,1032.0,72.3,16.0,164.0,14.3,8
2.3,-1.5,76.7,0.927,100,20.83,47.9,17.7,9.7,1029.6,100.0,13.9,47.6,4.1,2
5.6,-3.8,57.3,0.0,0,0.0,46.4,25.7,334.1,1029.6,13.6,15.2,292.7,25.0,10
8.9,-5.9,41.1,0.0,0,0.0,12.6,9.6,232.9,1026.1,34.2,16.0,281.5,24.3,10
13.9,-5.4,29.8,0.0,0,0.0,24.1,12.2,165.5,1021.9,51.1,16.0,277.5,23.9,10
16.2,-2.3,31.3,0.0,0,0.0,24.1,13.6,180.8,1020.7,41.0,16.0,286.3,24.9,10
17.0,3.0,41.6,0.0,0,0.0,31.7,17.2,143.3,1020.0,22.9,16.0,290.3,25.1,10
17.4,12.4,73.4,0.0,0,0.0,53.6,28.5,159.9,1017.7,74.5,14.6,90.1,7.8,4
20.3,15.0,72.7,0.098,100,4.17,53.1,29.5,185.5,1012.6,76.0,15.5,82.5,7.2,3
18.9,14.5,76.6,0.137,100,4.17,65.7,33.3,190.2,1012.4,84.5,15.9,80.0,6.7,5
5.3,-1.2,65.0,1.312,100,20.83,59.3,40.3,343.2,1023.9,76.3,15.7,172.0,14.7,7
4.3,-1.5,66.6,0.203,100,12.5,50.0,18.0,17.5,1020.0,60.3,16.0,109.4,9.6,5
7.2,-3.9,52.7,0.0,0,0.0,32.5,16.1,53.4,1017.4,9.2,15.7,321.6,28.1,10
11.3,1.8,55.0,0.0,0,0.0,51.3,25.0,123.4,1014.3,4.8,16.0,309.1,26.7,10
2.3,-4.3,63.2,0.864,100,12.5,59.4,39.5,349.7,1021.3,75.6,15.4,52.3,4.5,3
5.3,-9.2,39.1,0.0,0,0.0,22.3,14.2,244.0,1029.7,0.0,16.0,327.2,28.4,10
11.4,-6.8,28.7,0.0,0,0.0,49.7,30.6,175.5,1023.2,12.0,16.0,341.4,28.3,10
14.9,7.8,64.1,5.69,100,12.5,60.8,33.1,170.5,1015.5,73.0,15.8,107.6,9.2,5
14.4,5.9,56.9,0.0,0,0.0,50.0,30.6,335.4,1019.2,27.5,16.0,223.6,19.1,10
17.2,6.7,56.2,0.0,0,0.0,37.2,23.7,178.0,1014.5,12.9,15.8,327.6,28.5,10
18.3,11.1,64.1,0.0,0,0.0,64.0,35.4,169.4,1006.6,53.4,16.0,205.2,17.8,10
13.7,1.9,46.8,0.0,0,0.0,62.9,44.0,308.5,1014.3,43.4,16.0,257.0,22.1,10
14.7,-2.0,37.3,0.0,0,0.0,27.7,17.6,219.7,1021.1,7.2,16.0,339.4,29.4,10
19.3,-0.4,28.0,0.0,0,0.0,49.1,30.4,164.5,1019.3,26.0,16.0,338.8,29.6,10
17.1,11.5,74.5,24.372,100,41.67,64.0,35.8,152.8,1007.7,94.2,12.8,34.7,2.9,2
10.8,5.2,69.8,0.0,0,0.0,54.7,36.2,298.1,1007.5,72.1,15.9,99.3,8.6,4
11.9,-2.9,37.3,0.0,0,0.0,61.9,41.3,308.6,1013.7,29.5,16.0,299.4,26.0,10
11.4,-3.1,40.7,0.0,0,0.0,41.4,26.1,307.3,1015.3,16.5,16.0,349.6,30.2,10
17.0,-3.2,29.6,0.0,0,0.0,15.5,10.8,87.9,1017.7,4.6,16.0,346.4,29.9,10
19.9,1.4,32.2,0.0,0,0.0,35.3,16.9,126.5,1015.9,1.3,16.0,341.8,29.3,10
22.1,5.2,37.7,0.0,0,0.0,48.2,27.6,157.1,1012.4,34.8,16.0,345.2,29.9,10
22.0,11.7,54.6,0.0,0,0.0,52.7,34.0,175.1,1012.5,30.3,16.0,344.1,29.9,10
22.4,15.0,63.8,0.0,0,0.0,73.1,41.6,177.3,1005.5,81.5,16.0,114.1,9.8,4
16.4,9.9,67.5,15.611,100,25.0,69.7,40.6,278.9,1001.3,67.2,14.6,237.8,20.6,10
13.1,2.1,51.8,0.0,0,0.0,53.0,32.2,309.0,1011.1,33.7,16.0,330.5,28.6,10
15.7,2.7,44.1,0.0,0,0.0,45.1,27.2,124.7,1014.3,22.8,16.0,340.3,29.4,10
18.0,9.9,61.6,1.779,100,12.5,48.1,20.5,47.5,1015.3,16.1,15.9,349.6,30.2,10
20.9,10.5,53.7,0.0,0,0.0,49.3,27.6,152.5,1012.6,12.2,16.0,349.0,30.2,10
20.8,12.8,62.0,5.326,100,4.17,51.0,30.9,166.4,1007.2,79.8,15.5,162.1,14.0,7
23.3,14.1,64.4,26.377,100,12.5,59.9,28.1,184.3,1000.6,33.8,15.3,347.9,30.1,10
19.6,2.4,34.7,0.0,0,0.0,71.8,40.4,346.4,1008.7,3.3,16.0,323.2,28.0,10
15.7,-4.7,26.5,0.0,0,0.0,76.3,45.9,318.9,1020.6,35.5,15.0,285.1,24.5,10
14.5,-4.6,27.5,0.0,0,0.0,64.2,42.8,315.8,1021.1,20.0,14.9,290.2,25.1,10
18.9,-0.2,30.7,0.0,0,0.0,49.2,31.2,188.6,1015.0,0.7,16.0,289.3,25.0,10
21.8,12.2,55.9,0.0,0,0.0,69.1,37.5,174.0,1005.9,39.3,16.0,255.3,22.1,10
24.4,17.2,65.2,0.0,0,0.0,56.0,32.1,182.2,1005.5,66.7,16.0,211.3,18.3,10
23.2,18.0,72.6,1.784,100,8.33,51.1,31.8,168.8,1004.6,78.3,14.6,103.1,8.9,5
22.5,11.6,55.3,5.777,100,12.5,59.2,44.4,256.9,1005.4,48.0,15.6,267.5,23.1,10
17.3,3.3,41.1,0.0,0,0.0,37.1,20.6,104.3,1016.6,9.4,16.0,274.0,23.6,10
20.2,13.0,63.9,0.0,0,0.0,46.4,26.6,159.4,1011.1,58.9,15.9,147.5,12.7,6
21.8,17.6,77.3,0.0,0,0.0,48.1,26.2,244.8,1011.2,88.7,14.3,152.4,13.3,8
18.1,10.3,62.1,0.0,0,0.0,50.0,18.4,333.5,1013.2,67.0,16.0,192.8,16.4,10
16.7,8.3,60.5,0.0,0,0.0,37.2,21.2,50.4,1021.8,38.0,16.0,244.3,21.2,10
17.8,7.4,52.5,0.0,0,0.0,51.4,32.1,134.2,1019.5,53.6,16.0,223.5,19.3,10
23.5,17.1,69.3,0.0,0,0.0,63.3,35.1,177.3,1009.6,71.6,14.6,195.3,17.0,10
24.7,19.2,72.1,0.0,0,0.0,53.1,29.9,162.4,1015.7,87.8,15.9,158.5,13.8,5
24.6,17.7,67.1,0.0,0,0.0,59.4,36.3,157.9,1017.1,67.9,15.9,145.7,12.6,6
23.8,16.3,63.5,0.0,0,0.0,62.7,40.7,167.0,1010.6,87.0,16.0,127.7,11.1,5
22.7,17.6,74.1,1.962,100,12.5,56.6,31.2,172.5,1010.2,91.9,15.8,105.5,9.1,5
17.0,10.8,69.8,28.726,100,33.33,53.6,27.5,7.9,1019.5,81.1,14.6,136.6,11.6,6
16.9,6.3,51.5,0.0,0,0.0,31.7,19.8,54.3,1026.0,21.3,16.0,238.5,20.7,10
18.7,10.7,60.8,0.0,0,0.0,38.9,21.9,141.8,1020.7,43.0,16.0,235.6,20.4,10
21.9,15.1,66.2,0.0,0,0.0,46.4,27.1,157.7,1013.2,64.2,16.0,170.3,14.8,8
23.8,18.0,70.7,0.0,0,0.0,59.0,35.9,172.1,1007.1,76.1,16.0,149.1,12.7,6
24.3,13.0,53.3,0.0,0,0.0,54.7,30.2,277.9,1009.1,42.9,16.0,266.4,22.9,10
22.4,10.2,48.3,0.0,0,0.0,44.6,24.2,118.2,1013.9,40.7,16.0,222.9,19.2,10
24.9,18.6,69.8,18.221,100,12.5,60.0,33.2,164.5,1008.5,70.0,15.4,136.2,11.6,5
17.2,13.8,81.0,17.332,100,8.33,51.8,24.5,0.1,1012.6,95.7,15.5,130.5,11.3,6
22.7,18.3,78.3,0.864,100,4.17,45.4,27.0,142.7,1011.7,87.1,10.8,198.3,17.1,10
22.5,17.7,74.9,2.114,100,29.17,51.8,29.9,236.3,1009.0,56.8,15.4,88.3,7.5,10
21.2,13.9,66.0,3.842,100,4.17,29.5,14.8,119.5,1010.9,10.2,16.0,220.8,19.3,10
25.0,19.6,72.0,0.0,0,0.0,40.1,23.7,129.2,1006.9,61.0,15.0,172.7,15.0,7
28.0,21.2,67.8,0.0,0,0.0,52.0,32.5,169.9,1003.0,37.4,14.8,248.7,21.4,10
28.2,21.7,68.9,0.0,0,0.0,54.3,32.1,171.6,1006.2,60.4,14.9,190.8,16.5,10
27.8,21.7,70.1,0.0,0,0.0,45.9,25.7,165.2,1014.0,59.8,15.7,189.7,16.3,7
26.8,19.8,66.6,0.0,0,0.0,43.0,25.7,167.4,1017.3,50.1,16.0,255.5,21.9,10
26.7,19.2,65.7,0.0,0,0.0,42.5,26.9,163.8,1014.1,18.9,16.0,236.0,20.5,10
26.8,17.9,60.3,0.0,0,0.0,42.5,24.0,168.4,1010.5,25.4,16.0,211.9,18.2,10
27.5,18.5,59.1,0.0,0,0.0,57.4,34.0,158.5,1011.6,22.5,16.0,220.6,19.2,10
27.9,19.6,62.4,0.0,0,0.0,64.3,27.4,153.3,1011.1,42.9,16.0,211.2,18.2,10
26.1,16.7,57.8,0.0,0,0.0,51.8,21.8,90.7,1013.4,43.7,16.0,209.5,18.0,10
28.2,18.1,56.5,0.0,0,0.0,49.6,30.3,158.3,1011.7,46.8,16.0,302.0,26.0,10
28.1,17.5,55.7,0.0,0,0.0,49.6,28.3,174.2,1008.9,38.3,16.0,197.0,16.8,10
28.2,18.2,56.6,0.0,0,0.0,57.8,33.8,177.8,1004.5,24.6,16.0,215.3,18.7,10
28.4,20.1,61.5,0.0,0,0.0,63.2,37.6,175.8,1001.4,57.6,14.5,205.2,17.6,10
25.8,19.1,67.4,0.784,100,16.67,56.8,32.7,226.3,1009.8,75.3,14.6,197.0,17.1,10
18.4,11.0,62.7,0.0,0,0.0,48.1,29.2,12.5,1021.1,90.4,16.0,188.8,16.2,8
20.4,16.4,79.4,0.0,0,0.0,48.5,26.6,90.9,1016.7,95.5,12.5,167.3,14.5,10
20.7,17.5,82.2,43.398,100,33.33,60.8,31.1,97.5,1008.2,96.8,14.7,127.4,11.0,10
18.4,12.4,71.1,9.781,100,20.83,58.3,31.1,281.5,1009.0,80.5,15.4,130.5,11.4,7
22.4,10.0,49.9,0.0,0,0.0,50.9,29.7,304.6,1012.6,17.8,16.0,164.7,14.3,10
24.6,11.6,48.3,0.0,0,0.0,15.5,13.9,103.7,1014.9,5.6,16.0,177.0,15.2,10
27.1,15.4,49.4,0.0,0,0.0,54.5,32.5,159.0,1009.5,10.8,16.0,207.9,18.2,10
27.9,18.6,58.3,0.0,0,0.0,59.6,35.4,167.5,1004.5,44.2,16.0,222.6,19.3,10
28.3,19.1,59.1,0.0,0,0.0,60.2,37.5,171.6,1005.6,60.5,16.0,130.2,11.3,10
28.9,20.8,63.2,0.0,0,0.0,50.9,29.5,163.7,1009.7,59.3,16.0,164.3,14.2,10
27.1,21.6,72.1,12.648,100,16.67,42.6,22.9,120.9,1012.8,72.5,15.8,117.2,10.0,10
24.5,18.1,69.4,17.266,100,12.5,67.6,35.6,17.8,1013.8,44.6,15.4,178.8,15.6,10
24.0,19.0,74.1,4.131,100,12.5,38.9,17.1,77.2,1013.2,64.4,15.7,132.3,11.5,7
25.0,19.9,75.1,0.0,0,0.0,20.2,19.2,135.8,1010.2,60.6,15.7,198.8,17.2,10
27.1,20.1,66.7,0.0,0,0.0,47.3,27.6,145.2,1005.7,43.4,16.0,298.5,25.8,10
29.0,20.8,62.5,0.0,0,0.0,47.1,29.1,167.5,1003.7,37.1,16.0,214.0,18.6,10
29.2,21.5,64.4,0.0,0,0.0,43.7,26.2,155.8,1007.6,41.4,16.0,257.7,22.2,10
28.0,20.8,66.0,0.0,0,0.0,53.6,26.9,160.9,1011.2,58.0,16.0,209.5,18.1,8
27.9,21.6,69.8,0.0,0,0.0,31.7,19.8,97.6,1013.9,65.0,15.9,250.6,21.6,10
30.3,20.8,57.9,0.0,0,0.0,37.1,18.4,152.8,1010.3,39.5,16.0,156.7,13.7,10
32.3,21.2,54.1,0.0,0,0.0,38.9,22.7,184.3,1007.4,25.4,16.0,241.2,21.1,10
32.4,20.9,52.4,0.0,0,0.0,42.8,24.4,176.4,1007.7,16.9,16.0,215.8,18.9,10
31.6,19.8,52.2,0.0,0,0.0,49.6,29.5,176.8,1010.2,2.3,15.0,211.7,18.4,10
30.5,19.5,53.6,0.0,0,0.0,65.7,35.9,174.2,1011.1,37.6,14.5,307.5,26.6,10
29.9,21.0,59.8,0.0,0,0.0,56.6,32.2,175.4,1012.9,59.9,15.9,254.0,21.8,10
31.3,18.7,49.9,0.0,0,0.0,37.1,18.0,168.9,1016.0,25.8,15.4,288.9,24.9,10
31.1,18.6,48.6,0.126,100,4.17,55.0,18.6,107.5,1015.4,23.0,15.8,218.2,18.9,10
30.3,20.4,57.5,0.0,0,0.0,35.3,20.8,125.5,1014.8,23.2,16.0,223.6,19.3,10
30.9,20.7,56.4,0.0,0,0.0,44.6,22.9,115.8,1015.6,24.6,16.0,241.4,20.9,10
31.0,19.4,52.4,0.0,0,0.0,33.5,19.0,129.4,1016.6,20.0,16.0,215.0,18.5,10
32.2,18.8,47.1,0.0,0,0.0,34.9,18.7,143.8,1018.3,11.0,16.0,231.2,20.1,10
31.9,18.9,48.0,0.0,0,0.0,27.7,16.8,146.3,1017.7,22.8,16.0,209.9,18.3,10
32.9,19.3,46.8,0.0,0,0.0,38.9,22.4,126.4,1013.7,28.9,16.0,215.5,18.8,10
33.2,18.3,43.1,0.0,0,0.0,35.3,21.4,171.2,1011.3,18.3,16.0,210.5,18.3,10
32.8,15.6,37.7,0.0,0,0.0,38.9,19.3,167.1,1012.8,15.5,16.0,209.9,18.3,10
32.7,16.2,38.4,0.0,0,0.0,48.1,22.8,4.8,1016.5,28.0,16.0,211.6,18.2,10
29.0,18.1,52.2,0.0,0,0.0,41.1,21.1,39.4,1019.7,38.7,16.0,268.2,23.4,10
28.6,13.7,42.2,0.0,0,0.0,37.1,18.7,76.4,1020.1,54.6,16.0,198.4,17.1,10
28.8,12.6,38.8,0.0,0,0.0,33.5,19.1,78.3,1019.4,23.8,16.0,207.8,18.1,10
30.4,16.2,44.1,0.0,0,0.0,37.1,22.3,128.6,1015.3,14.3,16.0,212.4,18.5,10
